% _Annual_D-N__________________ L-OTI(^S^o^N^C) Change 1957-2020                  
%   i   j     lon     lat    array(i,j)
  17   3 -147.00  -85.00        0.5435
  18   3 -145.00  -85.00        0.5435
  19   3 -143.00  -85.00        0.5435
  20   3 -141.00  -85.00        0.5435
  21   3 -139.00  -85.00        0.5435
  22   3 -137.00  -85.00        0.5435
  23   3 -135.00  -85.00        0.5435
  24   3 -133.00  -85.00        0.5435
  25   3 -131.00  -85.00        0.5435
  26   3 -129.00  -85.00        0.5435
  27   3 -127.00  -85.00        0.5435
  28   3 -125.00  -85.00        0.5435
  29   3 -123.00  -85.00        0.5435
  30   3 -121.00  -85.00        0.5435
  31   3 -119.00  -85.00        0.5435
  32   3 -117.00  -85.00        0.5435
  33   3 -115.00  -85.00        0.5435
  34   3 -113.00  -85.00        0.5435
  35   3 -111.00  -85.00        0.5435
  36   3 -109.00  -85.00        0.5435
  37   3 -107.00  -85.00        0.5435
  38   3 -105.00  -85.00        0.5435
  39   3 -103.00  -85.00        0.5435
  40   3 -101.00  -85.00        0.5435
  41   3  -99.00  -85.00        0.5435
  42   3  -97.00  -85.00        0.5435
  43   3  -95.00  -85.00        0.5435
  44   3  -93.00  -85.00        0.5435
  45   3  -91.00  -85.00        0.5435
  46   3  -89.00  -85.00        0.5435
  47   3  -87.00  -85.00        0.5435
  48   3  -85.00  -85.00        0.5435
  49   3  -83.00  -85.00        0.5435
  50   3  -81.00  -85.00        0.5435
  51   3  -79.00  -85.00        0.5435
  52   3  -77.00  -85.00        0.5435
  53   3  -75.00  -85.00        0.5435
  54   3  -73.00  -85.00        0.5435
  55   3  -71.00  -85.00        0.5435
  56   3  -69.00  -85.00        0.5435
  57   3  -67.00  -85.00        0.5435
  58   3  -65.00  -85.00        0.5435
  59   3  -63.00  -85.00        0.5435
  60   3  -61.00  -85.00        0.5435
  61   3  -59.00  -85.00        0.5435
  62   3  -57.00  -85.00        0.5435
  63   3  -55.00  -85.00        0.5435
  64   3  -53.00  -85.00        0.5435
  65   3  -51.00  -85.00        0.5435
  66   3  -49.00  -85.00        0.5435
  67   3  -47.00  -85.00        0.5435
  68   3  -45.00  -85.00        0.5435
  69   3  -43.00  -85.00        0.5435
  70   3  -41.00  -85.00        0.5435
  71   3  -39.00  -85.00        0.5435
  72   3  -37.00  -85.00        0.5435
  73   3  -35.00  -85.00        0.5435
  74   3  -33.00  -85.00        0.5435
  75   3  -31.00  -85.00        0.5435
  76   3  -29.00  -85.00        0.5435
  77   3  -27.00  -85.00        0.5435
  78   3  -25.00  -85.00        0.5435
  79   3  -23.00  -85.00        0.5435
  80   3  -21.00  -85.00        0.5435
